MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
Resolution Orthogneiss (Western Fiordland Orthogneiss),Homogeneous  variably foliated and lineated hornblende plagioclase dioritic and gabbroic orthogneiss  hornblende granulite facies.,orthogneiss,Basement (Median Batholith) metamorphic rocks,Tuhua Intrusives,Kwr,Group 18
North Range Group siltstone,Well bedded siltstone  sandstone  tuff  shellbeds and conglomerate.,siltstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,mTn,Group 15
Undifferentiated Miocene lignite,Lignite  minor sandstone and tuff.,lignite,Neogene sedimentary rocks,Neogene sedimentary rocks,mMi,Group 15
OIS8 OIS6 (Middle Pleistocene) outwash deposits,Slightly weathered sandy outwash gravel.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 12
OIS4 (Late Pleistocene) river deposits,Schist greywacke quartz sandy gravel in Clutha catchment  sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Dunedin Volcanic Group first main phase extrusives,Extensive flows of olivine basalt  plagioclase basalt  basanite  kaiwekite and trachyandesite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md1,Group 09
Prospect Formation (Wilderness Group),Massive to crossbedded conglomerate with minor sandstone and local breccia.,conglomerate,Neogene sedimentary rocks,Wilderness Group,^p,Group 15
Undifferentiated Rakaia Terrane Permian to Triassic TZIV schist,TZIV pelitic schist with subordinate psammitic schist.,schist,Basement (Eastern Province) metamorphic rocks,Rakaia Terrane,Yt,Group 15
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Dunedin Volcanic Group extrusives,Undifferentiated flows pyroclastics and intrusives peripheral to the Dunedin volcanic complex.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md,Group 09
OIS8 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Late Pleistocene sediments,mQa,Group 6
Undifferentiated Maitai Group siltstone,Siltstone  conspicuous sandstone bands  minor conglomerate and limestone  and red and green siltstone.,siltstone,Basement (Eastern Province) sedimentary rocks,Dun Mountain   Maitai Terrane,YTm,Group 15
Pleasant Pluton (?Paringa Suite),Fine to coarse grained  massive or rarely layered  pyroxene and hornblende diorite and gabbro  minor olivine gabbronorite.,gabbro,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,&up,Group 18
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
North Range Group siltstone,Well bedded siltstone  sandstone  tuff  shellbeds and conglomerate.,siltstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,mTn,Group 15
Undifferentiated Otakou Group sandstone,Calcareous sandstone  sandy limestone and minor tuff.,sandstone,Neogene sedimentary rocks,Otakou Group,Mo,Group 15
OIS8 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Late Pleistocene sediments,mQa,Group 6
Dunedin Volcanic Group extrusives,Undifferentiated flows pyroclastics and intrusives peripheral to the Dunedin volcanic complex.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md,Group 09
OIS1 (Holocene) swamp deposits,Peat in swamps and on actively growing peat mounds  with incursions of sand and silt.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) fan deposits,Loose  commonly angular  boulders  gravel  sand and silt forming modern alluvial fans  may include debris flow and avalanche deposits.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Dunedin Volcanic Group first main phase extrusives,Extensive flows of olivine basalt  plagioclase basalt  basanite  kaiwekite and trachyandesite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md1,Group 09
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS4 OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS4 (Late Pleistocene) river deposits,Sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
OIS1 (Holocene) ocean beach deposits,Loose well sorted sand deposited predominantly by marine and lesser aeolian processes  minor gravel and silt.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Undifferentiated Nightcaps Group sediments,Sandstone and carbonaceous mudstone with minor lignite.,sandstone,Neogene sedimentary rocks,Nightcaps Group,En,Group 15
OIS4 (Late Pleistocene) river deposits,Schist greywacke quartz sandy gravel in Clutha catchment  sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
Undifferentiated ?Takaka Terrane psammitic and amphibolitic schist and gneiss,Generally psammitic schists with subordinate amphibolites  minor calc silicates and pelitic schist  rare marble.,schist,Basement (Western Province) metamorphic rocks,Takaka Terrane,&t,Group 15
OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS4 (Late Pleistocene) river deposits,Schist greywacke quartz sandy gravel in Clutha catchment  sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
OIS1 (Holocene) fan deposits,Loose  commonly angular  boulders  gravel  sand and silt forming modern alluvial fans  may include debris flow and avalanche deposits.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Undifferentiated ?Takaka Terrane psammitic and amphibolitic schist and gneiss,Variable mixture of psammitic  amphibolitic and pelitic schist  minor calc silicates  rare marble.,schist,Basement (Western Province) metamorphic rocks,Takaka Terrane,&t,Group 15
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Prospect Formation (Wilderness Group),Massive to crossbedded conglomerate with minor sandstone and local breccia.,conglomerate,Neogene sedimentary rocks,Wilderness Group,^p,Group 15
Early Pleistocene fan deposits,Weathered sandy gravel in very old fans.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 10
Duncraigen Formation (Waiau Group),Graded sandstone and mudstone.,sandstone,Neogene sedimentary rocks,Waiau Group,Mwd,Group 15
Dunedin Volcanic Group second main phase extrusives,Extensive flows of trachybasalt  olivine dolerite  basalt  phonolite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md2,Group 09
Undifferentiated Maitai Group siltstone,Siltstone  conspicuous sandstone bands  minor conglomerate and limestone  and red and green siltstone.,siltstone,Basement (Eastern Province) sedimentary rocks,Dun Mountain   Maitai Terrane,YTm,Group 15
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
OIS1 (Holocene) swamp deposits,Poorly consolidated to firm interbedded mud and peat with minor sand. Inland peats lack sand.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Dunedin Volcanic Group breccia,Basaltic breccia and agglomerate in outliers to Dunedin volcanic complex.,breccia,Neogene sedimentary rocks,Dunedin Volcanic Group,Md,Group 15
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
Undifferentiated ?Takaka Terrane psammitic and amphibolitic schist and gneiss,Generally psammitic schists with subordinate amphibolites  minor calc silicates and pelitic schist  rare marble.,schist,Basement (Western Province) metamorphic rocks,Takaka Terrane,&t,Group 15
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician paragneiss,Laminated and banded  fine grained hornblende biotite±garnet quartzofeldspathic gneiss  minor marble  quartzite and pelitic schist.,paragneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&ts,Group 15
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated fresh to deeply weathered locally derived clayey to sandy gravel in alluvial fans.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
Puteketeke Pluton (Separation Point Suite),Medium grained  massive  mostly equigranular  biotite±hornblende granite  granodiorite and tonalite  subordinate quartz diorite and quartz monzodiorite.,granodiorite,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,Ksk,Group 18
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
Malaspina Pluton orthogneiss (Western Fiordland Orthogneiss),Medium grained  strongly foliated  hornblende rich dioritic orthogneiss (amphibolitic)  completely retrogressed amphibolite metamorphism.,orthogneiss,Basement (Median Batholith) metamorphic rocks,Tuhua Intrusives,Kwm,Group 18
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Puteketeke Pluton (Separation Point Suite),Medium grained  massive  mostly equigranular  biotite±hornblende granite  granodiorite and tonalite  subordinate quartz diorite and quartz monzodiorite.,granodiorite,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,Ksk,Group 18
Undifferentiated Onekakara Group Early Paleocene to Eocene sandstone,Quartzose and glauconitic sandstone  siltstone  shellbeds and limestone.,sandstone,Paleogene sedimentary rocks,Onekakara Group,Pom,Group 15
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician psammite,Quartzofeldspathic psammitic and subordinate semi pelitic schist  minor marble  calc silicates and quartzite.,psammite,Basement (Western Province) metamorphic rocks,Takaka Terrane,&ts,Group 15
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician amphibolite and felsic gneiss,Amphibolite and felsic (plagioclase biotite±hornblende) schist/gneiss  subordinate quartzofeldspathic schist/gneiss  minor marble and calc silicate.,amphibolite,Basement (Western Province) metamorphic rocks,Takaka Terrane,&tv,Group 15
Dunedin Volcanic Group first main phase extrusives,Extensive flows of olivine basalt  plagioclase basalt  basanite  kaiwekite and trachyandesite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md1,Group 09
OIS4 OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
OIS1 (Holocene) river deposits,Loose well sorted sandstone   schist  and volcanic derived gravel and sand  often quartzose  with minor mud and peat.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated fresh to deeply weathered locally derived clayey to sandy gravel in alluvial fans.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
Dunedin Volcanic Group initial phase extrusives,Trachytic flows and tuffs.,trachyte,Neogene igneous rocks,Dunedin Volcanic Group,Md0,Group 09
Dunedin Volcanic Group second main phase extrusives,Extensive flows of trachybasalt  olivine dolerite  basalt  phonolite.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md2,Group 09
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) river deposits,Unconsolidated gravel  sand and peat in modern stream beds  flood plains with minor overbank swamps.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) fan deposits,Schist and greywacke gravel and sand in modern stream beds and flood plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
Dunedin Volcanic Group extrusives,Undifferentiated flows pyroclastics and intrusives peripheral to the Dunedin volcanic complex.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md,Group 09
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician paragneiss,Laminated and banded  fine grained hornblende biotite±garnet quartzofeldspathic gneiss  minor marble  quartzite and pelitic schist.,paragneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&ts,Group 15
Duncraigen Formation (Waiau Group),Graded sandstone and mudstone.,sandstone,Neogene sedimentary rocks,Waiau Group,Mwd,Group 15
OIS4 (Late Pleistocene) river deposits,Schist greywacke quartz sandy gravel in Clutha catchment  sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
OIS1 (Holocene) river deposits,Unweathered  loose  bouldery gravel  sand and mud in modern floodplains. Peat and carbonaceous mud bands may be interbedded.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS1 (Holocene) glacier deposits,Unconsolidated  unweathered  angular  bouldery till  mixtures of gravel/sand/silt/clay  in cirque or upper valley moraines.,till,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Deep Cove Gneiss,Banded interlayered quartzofeldspathic  biotite and hornblende gneiss  minor calc silicate  marble  pelitic schist and orthogneiss sheets.,gneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&dc,Group 18
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician paragneiss,Laminated and banded  fine grained hornblende biotite±garnet quartzofeldspathic gneiss  minor marble  quartzite and pelitic schist.,paragneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&ts,Group 15
Gore Lignite Measures sandstone (East Southland Group),Sandstone with lignite and carbonaceous mudstone  mudstone  claystone and minor conglomerate.,sandstone,Neogene sedimentary rocks,East Southland Group,Meg,Group 15
Waicoe Formation mudstone (Waiau Group),Mudstone with graded limestone  breccia and sandstone interbeds.,mudstone,Paleogene   Neogene sedimentary rocks,Waiau Group,Oww,Group 15
Early Pleistocene fan deposits,Weathered sandy gravel in very old fans.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 10
OIS1 (Holocene) swamp deposits,Poorly consolidated to firm interbedded mud and peat with minor sand. Inland peats lack sand.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Undifferentiated Caples Terrane TZIIA semischist,TZIIA weakly foliated grey green sandstone and minor mudstone with rare volcanics and conglomerate.,metasandstone,Basement (Eastern Province) metamorphic rocks,Caples Terrane,Yc,Group 15
OIS8 (Middle Pleistocene) river deposits,Weathered greywacke gravels overlain by loess greywacke schist gravel in terrace remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Late Pleistocene sediments,mQa,Group 6
OIS1 (Holocene) fan deposits,Schist and greywacke gravel and sand in modern stream beds and flood plains.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
Undifferentiated Maitai Group siltstone,Siltstone  conspicuous sandstone bands  minor conglomerate and limestone  and red and green siltstone.,siltstone,Basement (Eastern Province) sedimentary rocks,Dun Mountain   Maitai Terrane,YTm,Group 15
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
OIS6 (Middle Pleistocene) outwash deposits,Slightly to moderately weathered  bedded  gravelly to bouldery sand  and sandy outwash gravel in high level terraces.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 16
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Taringatura Group sandstone,Sandstone with minor tuff  mudstone  tuff  shellbeds and granitic conglomerate.,sandstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,lTt,Group 15
OIS6 OIS4 (Middle Pleistocene to Late Pleistocene) river deposits,Sandy gravel in outwash and alluvial terraces.,gravel,Middle Pleistocene   Late Pleistocene river deposits,Middle Pleistocene   Late Pleistocene sediments,Q4a,Group 6
OIS1 (Holocene) scree deposits,Angular  unsorted  loose  sandy to bouldery gravel in active to inactive scree  colluvium  and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS6 (Middle Pleistocene) river deposits,Weathered greywacke gravel overlain by loess  greywacke schist gravel remnants in Clutha catchment.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 6
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
OIS4 OIS2 (Late Pleistocene) river deposits,Sandy greywacke gravel overlain by loess  schist greywacke quartz sandy gravel in the Clutha catchment.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Waicoe Formation limestone (Waiau Group),Well bedded sandy limestone with calcareous sandstone interbeds within Waicoe Formation.,limestone,Paleogene   Neogene sedimentary rocks,Waiau Group,Muf,Group 15
OIS1 (Holocene) swamp deposits,Peat in swamps and on actively growing peat mounds  with incursions of sand and silt.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
Waicoe Formation limestone (Waiau Group),Well bedded sandy limestone with calcareous sandstone interbeds within Waicoe Formation.,limestone,Paleogene   Neogene sedimentary rocks,Waiau Group,Muf,Group 15
Undifferentiated ?Takaka Terrane psammitic and amphibolitic schist and gneiss,Generally psammitic schists with subordinate amphibolites  minor calc silicates and pelitic schist  rare marble.,schist,Basement (Western Province) metamorphic rocks,Takaka Terrane,&t,Group 15
OIS1 (Holocene) swamp deposits,Peat in swamps and on actively growing peat mounds  with incursions of sand and silt.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
Jaquiery Granitoid Gneiss (Median Batholith),Pale grey  fine medium grained  variably to strongly foliated  biotite magnetite±garnet granodiorite to tonalite gneiss  no xenoliths.,orthogneiss,Basement (Median Batholith) metamorphic rocks,Tuhua Intrusives,|uj,Group 18
Jaquiery Granitoid Gneiss (Median Batholith),Pale grey  fine medium grained  variably to strongly foliated  biotite magnetite±garnet granodiorite to tonalite gneiss  no xenoliths.,orthogneiss,Basement (Median Batholith) metamorphic rocks,Tuhua Intrusives,|uj,Group 18
Undifferentiated Pleistocene to Holocene fan deposits,Undifferentiated fresh to deeply weathered locally derived clayey to sandy gravel in alluvial fans.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
OIS4 (Late Pleistocene) river deposits,Schist greywacke quartz sandy gravel in Clutha catchment  sandy gravel in outwash and alluvial terraces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q4a,Group 6
Undifferentiated Onekakara Group Early Paleocene to Eocene sandstone,Quartzose and glauconitic sandstone  siltstone  shellbeds and limestone.,sandstone,Paleogene sedimentary rocks,Onekakara Group,Pom,Group 15
Tunnel Burn Formation (Waiau Group),Massive to cross bedded bioclastic limestone  locally sandy  locally interbedded with calcareous sandstone  sandy at base.,limestone,Paleogene   Neogene sedimentary rocks,Waiau Group,lOw,Group 15
Undifferentiated ?Takaka Terrane Cambrian to Early Ordovician paragneiss,Laminated and banded  fine grained hornblende biotite±garnet quartzofeldspathic gneiss  minor marble  quartzite and pelitic schist.,paragneiss,Basement (Western Province) metamorphic rocks,Takaka Terrane,&ts,Group 15
OIS1 (Holocene) scree deposits,Angular unsorted sandy gravel forming loose scree and clay bound slopewash.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Taringatura Group Kaihikuan sandstone,Sandstone with shellbeds and granitic conglomerate.,sandstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,mTu,Group 15
Five Fingers Pluton (Separation Point Suite),Medium grained  variably foliated  equigranular biotite±hornblende tonalite  subordinate diorite  quartz diorite and granodiorite  rare metasedimentary rafts.,tonalite,Basement (Median Batholith) igneous rocks,Tuhua Intrusives,Ksg,Group 18
White Hill Intrusives (Brook Street Volcanics Group),Concordant sills of gabbroic and dioritic to granophyric composition.,gabbro,Basement (Eastern Province) igneous rocks,Brook Street Terrane,Ybl,Group 17
Early Pleistocene fan deposits,Weathered sandy gravel in very old fans.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,Group 10
OIS1 (Holocene) glacier deposits,Unconsolidated  unweathered  angular  bouldery till  mixtures of gravel/sand/silt/clay  in cirque or upper valley moraines.,till,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) river deposits,Loose well sorted sandstone   schist  and volcanic derived gravel and sand  often quartzose  with minor mud and peat.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS10 (Middle Pleistocene) river deposits,Weathered sandy greywacke gravel overlain by loess in very high terrace remnants.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 6
Undifferentiated Pleistocene to Holocene glacier deposits,Undifferentiated unsorted angular to rounded sandy to bouldery till.,till,Pleistocene   Holocene glacier deposits,Pleistocene   Holocene sediments,uQt,Group 15
Undifferentiated Pleistocene to Holocene fan deposits,Alluvial fans  scree and slopewash overlying pediment surfaces.,silt,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,Group 15
Dunedin Volcanic Group third main phase extrusives,Extensive flows of phonolite  basalt and trachyandesite with minor tuff.,basalt,Neogene igneous rocks,Dunedin Volcanic Group,Md3,Group 09
Taratu Formation (Onekakara Group),Non marine quartz pebble conglomerate (locally silica cemented) sandstone  siltstone  mudstone and coal.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Onekakara Group,lKt,Group 15
Stag Stream Siltstone (North Range Group),Siltstone with minor fine sandstone.,siltstone,Basement (Eastern Province) sedimentary rocks,Murihiku Terrane,mTn,Group 15
