mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
Early Pleistocene river deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Te Muna Formation.,gravel,Early Pleistocene river deposits,Early Pleistocene sediments,eQa,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Wanstead Formation mudstone (Mangatu Group),Smectitic  soft to moderately hard claystone  greensand  sandstone and marl.,claystone,Paleogene sedimentary rocks,Mangatu Group,Egw,19_undifSed
Pahau Terrane sandstone,Thick  poorly bedded sandstone  well bedded commonly graded sandstone and mudstone  minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Alternating sandstone and mudstone  poorly bedded sandstone with minor coloured mudstone  conglomerate  basalt  chert.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Esk Head basalt (Kaweka Terrane),Basalt.,basalt,Basement (Eastern Province) igneous rocks,Kaweka Terrane,Tev,17_igneous
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Esk Head basalt (Kaweka Terrane),Basalt.,basalt,Basement (Eastern Province) igneous rocks,Kaweka Terrane,Tev,17_igneous
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Alternating sandstone and mudstone  poorly bedded sandstone with minor coloured mudstone  conglomerate  basalt  chert.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Pahau Terrane sandstone,Thick  poorly bedded sandstone  well bedded commonly graded sandstone and mudstone  minor volcanic rocks.,sandstone,Basement (Eastern Province) sedimentary rocks,Pahau Terrane,Ktp,19_undifSed
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Taipo Formation sandstone (Pahaoa Group),Sandstone dominated lenses.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kat,19_undifSed
OIS1 (Holocene) river deposits,Loose gravel sand silt and clay in modern flood plains and low terraces.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Late Pliocene limestone (Managamaire Group and Onoke Group),Poorly to well cemented shelly limestone  coquina and calcareous sandstone  and siltstone and sandy mudstone with minor grit.,limestone,Neogene sedimentary rocks,Onoke Group and Eketahuna Group,^ep,19_undifSed
Pliocene mudstone (Mangamaire Group  Mangahea Group  Te Aute Group  Hurupi Group  Tolaga Group  Moa Group  Makuri Group  Onoke Group),Pebbly or muddy greensand  calcareous mudstone  well sorted sandstone  concretionary mudstone  shelly coquina limestone.,mudstone,Neogene sedimentary rocks,Mangamaire  Mangaheia  Te Aute  Hurupi  Tolaga  Moa  Makuri and Onoke Groups,^ea,19_undifSed
Late Pliocene limestone (Managamaire Group and Onoke Group),Poorly to well cemented shelly limestone  coquina and calcareous sandstone  and siltstone and sandy mudstone with minor grit.,limestone,Neogene sedimentary rocks,Onoke Group and Eketahuna Group,^ep,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Late Pliocene limestone (Managamaire Group and Onoke Group),Poorly to well cemented shelly limestone  coquina and calcareous sandstone  and siltstone and sandy mudstone with minor grit.,limestone,Neogene sedimentary rocks,Onoke Group and Eketahuna Group,^ep,19_undifSed
Middle Miocene to Late Miocene sandstone and conglomerate (Tolaga and Hurupi groups),Mod poorly bedded  silty sandstone  and sandy siltstone  minor grit  mod well bedded sandstone and calcareous sandstone.,conglomerate,Neogene sedimentary rocks,Tolaga Group and Hurupi Group,Msp,19_undifSed
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Alternating sandstone and mudstone  poorly bedded sandstone with minor coloured mudstone  conglomerate  basalt  chert.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,19_undifSed
Glenburn Formation sandstone (Mangapurupuru Group),Well bedded alternating sandstone  mudstone and argillite.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kb,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Early Miocene Whakataki Formation sandstone and mudstone (Tolaga Group),Well bedded alternating sandstone and mudstone with interbedded olistostrome deposits.,sandstone,Neogene sedimentary rocks,Tolaga Group,Miw,19_undifSed
OIS1 (Holocene) landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted angular rock fragments in a fine grained matrix.,breccia,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) river deposits,Well sorted floodplain gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
Middle Miocene to Late Miocene sandstone and conglomerate (Tolaga and Hurupi groups),Mod poorly bedded  silty sandstone  and sandy siltstone  minor grit  mod well bedded sandstone and calcareous sandstone.,conglomerate,Neogene sedimentary rocks,Tolaga Group and Hurupi Group,Msp,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS7 (Middle Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Middle Pleistocene shoreline deposits,Middle Pleistocene sediments,Q7b,08_beach
OIS1 (Holocene) landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted angular rock fragments in a fine grained matrix.,breccia,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
Late Pliocene limestone (Managamaire Group and Onoke Group),Poorly to well cemented shelly limestone  coquina and calcareous sandstone  and siltstone and sandy mudstone with minor grit.,limestone,Neogene sedimentary rocks,Onoke Group and Eketahuna Group,^ep,19_undifSed
Middle Pleistocene ocean beach deposits,Undifferentiated Middle Quaternary marine and marginal marine gravel  sand and silt.,gravel,Middle Pleistocene shoreline deposits,Middle Pleistocene sediments,mQb,08_beach
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Alternating sandstone and mudstone  poorly bedded sandstone with minor coloured mudstone  conglomerate  basalt  chert.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,19_undifSed
OIS1 (Holocene) landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted angular rock fragments in a fine grained matrix.,breccia,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
OIS1 (Holocene) landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted angular rock fragments in a fine grained matrix.,breccia,Holocene hill slope deposits,Holocene sediments,Q1l,99_unknown
Middle Pleistocene fan  river and lake deposits,Weathered  poorly sorted loess covered fan gravel  alluvial gravel and lacustrine silt deposits  including Ahiaruhe Formation.,gravel,Middle Pleistocene river and lake deposits,Middle Pleistocene sediments,mQa,05_alluvial
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
OIS7 (Middle Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Middle Pleistocene shoreline deposits,Middle Pleistocene sediments,Q7b,08_beach
Undifferentiated Pleistocene to Holocene river deposits,Undifferentiated weathered  poorly sorted loess covered alluvial gravel deposits.,gravel,Pleistocene   Holocene river deposits,Pleistocene   Holocene sediments,uQa,05_alluvial
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Middle Miocene to Late Miocene sandstone and conglomerate (Tolaga and Hurupi groups),Mod poorly bedded  silty sandstone  and sandy siltstone  minor grit  mod well bedded sandstone and calcareous sandstone.,conglomerate,Neogene sedimentary rocks,Tolaga Group and Hurupi Group,Msp,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS1 (Holocene) fan deposits,Loose boulders  gravel sand and clay.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Taipo Formation sandstone (Pahaoa Group),Sandstone dominated lenses.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kat,19_undifSed
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Alternating sandstone and mudstone  poorly bedded sandstone with minor coloured mudstone  conglomerate  basalt  chert.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,19_undifSed
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Late Pliocene limestone (Managamaire Group and Onoke Group),Poorly to well cemented shelly limestone  coquina and calcareous sandstone  and siltstone and sandy mudstone with minor grit.,limestone,Neogene sedimentary rocks,Onoke Group and Eketahuna Group,^ep,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Whangai Formation (Tinui Group),Dark brown  siliceous  micaceous mudstone  siltstone  and sandy siltstone  numerous concretions.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Taipo Formation sandstone (Pahaoa Group),Sandstone dominated lenses.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kat,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Pahau Terrane volcanics,Spilitic basalt  dolerite and camptonite.,basalt,Basement (Eastern Province) igneous rocks,Pahau Terrane,Ktp,17_igneous
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
OIS2 (Late Pleistocene) river deposits,Poorly to moderately sorted gravel with minor sand or silt underlying terraces  includes minor fan gravel.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Taipo Formation sandstone (Pahaoa Group),Sandstone dominated lenses.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kat,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Middle Miocene to Late Miocene sandstone and conglomerate (Tolaga and Hurupi groups),Mod poorly bedded  silty sandstone  and sandy siltstone  minor grit  mod well bedded sandstone and calcareous sandstone.,conglomerate,Neogene sedimentary rocks,Tolaga Group and Hurupi Group,Msp,19_undifSed
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation basalt (Pahaoa Group),Spilitic volcanics.,basalt,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
OIS7 (Middle Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Middle Pleistocene shoreline deposits,Middle Pleistocene sediments,Q7b,08_beach
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Whatarangi Formation sandstone (Mangapurupuru Group),Grey graded sandstone and siltstone  minor siltstone and conglomeratic interbeds.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Kg,19_undifSed
OIS3 (Late Pleistocene) river deposits,Weathered  poorly sorted to moderately sorted gravel underlying loess covered  commonly eroded aggradational surfaces.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q3a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
Whangai Formation (Tinui Group),Dark brown  siliceous  micaceous mudstone  siltstone  and sandy siltstone  numerous concretions.,mudstone,Late Cretaceous   Paleogene sedimentary rocks,Tinui Group,Kiw,19_undifSed
Gentle Annie Formation and Springhill Formation (Mangapurupuru Group),Poorly sorted basal breccia  conglomerate  and pebbly siltstone to muddy sandstone  grading to alternating sandstone siltstone.,sandstone,Late Cretaceous sedimentary rocks,Mangapurupuru Group,Knu,19_undifSed
